ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9737759,10424,131414960,,,2024,,,
9737807,10424,132444258,,,2021,,,
9737819,10424,133644765,,,2022,,,
9737887,10424,135002294,,,,,,
9737903,10424,128918358,,,,,,
9737973,10424,136254277,,,,,,
9737997,10424,126005869,,,2024,,,
9738009,10424,132861822,,,2024,,,
9738039,10424,126005497,,,2017,,,
9738233,10424,137533123,,,2024,,,
9738261,10424,128767905,,,2024,,,
9738305,10424,137175688,,,,,,
9738329,10424,125957862,,,,,,
9738341,10424,137942625,,,,,,
9738353,10424,126711096,,,,,,
9738783,10424,137152141,,,2024,,,
9738873,10424,137016157,,,,,,
9738903,10424,136903648,,,,,,
9739275,10424,137017015,,,,,,
9739321,10424,137017102,,,,,,
9739355,10424,137032882,,,,,,
9739377,10424,137151161,,,,,,
9739389,10424,137153413,,,,,,
9739425,10424,137170030,,,2023,,,
9739531,10424,137244949,,,,,,
9739571,10424,126005597,,,2020,,,
9739583,10424,126005553,,,2015,,,
9739595,10424,126005541,,,2018,,,
9739641,10424,126005661,,,2017,,,
9739657,10424,126005641,,,2018,,,
9739711,10424,137941991,,,2024,,,
9739723,10424,137654833,,,2024,,,
9739741,10424,137401541,,,2024,,,
9739769,10424,137245204,,,2024,,,
9739793,10424,134014811,,,,,,
9739805,10424,129416523,,,,,,
9739827,10424,126130157,,,2024,,,
9739845,10424,126177686,,,,,,
9739893,10424,129401757,,,2024,,,
9741555,10424,130006362,,,,,,
9742391,10424,126693347,,,,,,
9743037,10424,134923547,,,,,,
9745203,10424,137970348,,,,,,
9746823,10424,132600299,,,,,,
9747498,10424,137971716,,,,,,
9747604,10424,137275987,,,,,,
9747624,10424,137971830,,,,,,
9747667,10424,137971809,,,2022,,,
9747682,10424,137971846,,,2021,,,
9748635,10424,137972472,,,,,,
9748801,10424,137972632,,,,,,
9748947,10424,137972493,,,,,,
9748980,10424,137972551,,,,,,
9749209,10424,134730820,,,,,,
9749586,10424,137973345,,,,,,
9749743,10424,137973574,,,,,,
9751375,10424,137975605,,,,,,
9752781,10424,126004961,,,,,,
9752796,10424,134873122,,,,,,
9752814,10424,130593453,,,,,,
9752829,10424,130593459,,,,,,
9755386,10424,137977306,,,,,,
9756670,10424,126130240,,,,,,
9757761,10424,126129406,,,,,,
9758512,10424,133169799,,,,,,
9759141,10424,137980215,,,,,,
9759157,10424,137980234,,,,,,
9759172,10424,137980240,,,,,,
9759310,10424,128861108,,,,,,
9759573,10424,137980368,,,,,,
9760593,10424,126435379,,,,,,
9760983,10424,137980977,,,,,,
9761967,10424,137980416,,,,,,
9764236,10424,137938123,,,,,,
9764436,10424,137983104,,,,,,
9765117,10424,126004857,,,,,,
9765169,10424,126019252,,,,,,
9765187,10424,137983528,,,,,,
9765867,10424,137983887,,,,,,
9766533,10424,126004729,,,,,,
9766738,10424,137984725,,,2024,,,
9766785,10424,136886470,,,,,,
9766812,10424,136903819,,,,,,
9766825,10424,136904153,,,,,,
