schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
13532965,113670496,39047087,,,
13533605,113671172,36477980,,,
13534324,113671882,36345042,,,
13534859,113672456,39122044,,,
13534868,113672471,37017400,,,
13535140,113672740,39161243,,,
13535963,113673539,38300189,,,
13536104,113673644,37914495,,69346538,
13536124,113673664,34588179,,66268550,
13536136,113673670,35970540,,59631772,
13536871,113674408,36988687,,,
13536881,113674415,38329899,,72175950,
13537357,113674912,37017400,,,
13537477,113675026,37820374,,,
13537855,113675410,36893761,,,
13537868,113675426,36077481,,,
13538552,113676134,36694937,,,
13539242,113676845,36147903,,,
13539580,113677180,33686413,,,
13540091,113677679,33684709,,,
13540279,113677882,39132917,,,
13541087,113678711,39055003,,,
13541096,113678720,39129620,,,
13542161,113679515,39036740,,72894315,
13542533,113679881,37913013,,69342905,
13542692,113680061,38285544,,,
13542706,113680084,37056295,,,
13543265,113680667,36694937,,,
13544105,113680754,38228520,,69962521,
13544078,113681501,39045487,,,
13544443,113681863,38287116,,,
13545152,113682605,33685693,,,
13545400,113682874,35801726,,,
13545416,113682890,39026914,,,
13546972,113684557,38238819,,,
13547101,113684674,39058733,,,
13547171,113684753,38814509,,,
13548754,113686486,38204832,,71397406,
13548998,113686760,38591037,,,
13549022,113686784,38247293,,,
13549241,113686982,38628816,,,
13549876,113687704,33704079,,,
13549927,113687755,36850529,,,
13550335,113688163,37038931,,69559879,
13550420,113688257,38176168,,,
13551206,113689127,37186092,,,
13551248,113689175,35480538,,,
13551340,113689279,36909556,,,
13551722,113689688,38562967,,71921509,
13552249,113690239,36883639,,,
13554935,113690239,36737572,,,
13552885,113690890,36737572,,,
13553225,113691218,33909884,,70000921,
13553378,113691374,38174880,,,
13553615,113691632,39102869,,,
13553750,113691794,39079976,,,
13554367,113692405,39168965,,,
13554422,113692472,35480531,,,
13554821,113692883,39202973,,,
13556372,113694572,38213332,,,
13556663,113694890,38285544,,,
13556675,113694908,34773294,,,
13556786,113695022,36111668,,,
13556792,113695028,39129620,,,
13556795,113695031,33684721,,62727470,
13557464,113695718,39200962,,,
13558268,113696489,36904552,,66471920,
13559156,113697422,39249251,,,
13560206,113698475,36904552,,,
13560215,113698484,39167908,,,
13560239,113698514,39132881,,,
13560338,113698622,39154072,,,
13561130,113699414,38282673,,,
13561550,113699852,34595574,,,
13561979,113700302,36069417,,,
13562930,113701313,33686173,,,
13563116,113701514,35477877,,,
13563758,113702234,35910362,,,
13564034,113702540,38936042,,,
13564049,113702561,33684845,,,
13564279,113702815,33684909,,,
13564282,113702818,33684909,,,
13566254,113704868,33849002,,,
13566458,113705069,37827285,,,
13566533,113705141,36065360,,,
13567513,113706211,37832259,,,
13568224,113706928,38867441,,,
13568896,113707606,37822465,,69140533,
13569790,113708491,33686473,,,
13570120,113708836,39278210,,,
13570916,113709668,36911989,,71921503,
13571498,113710304,38526132,,,
13573642,113712868,37054054,,,
13573706,113712929,33686517,,73341303,
13573841,113713052,36033228,,,
13573877,113713082,39223655,,,
13573967,113713178,39041381,,,
13575076,113714434,36911989,,71921503,
13575091,113714446,39033773,,,
13575140,113714489,39180653,,,
13575577,113714998,39180653,,73346026,
13575583,113715004,39190253,,,
13575896,113715344,38628822,,,
13575899,113715347,38628816,,,
13597445,113737946,37159485,,,
13597657,113738155,38669418,,71884930,
13598072,113738591,36909556,,,
13598669,113739152,36077481,,,
13599065,113739608,36381855,,,
13599536,113740094,33952636,,,
